step,asp_time,heu_time,cr_time,declace_time,asp_cost,heu_cost,cr_cost,declace_cost,asp_placement,heu_placement,cr_placement,declace_placement
0,1.14469,0.38183,-1,1.14469,3671,4248,-1,3671,"(busybox,n4),(memcached,n4),(nginx,n4),(mariadb,n4),(memcached,n11)","(busybox,n4),(memcached,n4),(nginx,n4),(mariadb,n4),(busybox,n13),(nginx,n13),(mariadb,n13),(memcached,n27)",,"(busybox,n4),(memcached,n4),(nginx,n4),(mariadb,n4),(memcached,n11)"
1,0.53295,0.17615,0.23482,0.23482,2386,2963,2963,2963,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n5)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n13),(nginx,n13),(mariadb,n13),(memcached,n7)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n13),(nginx,n13),(mariadb,n13),(memcached,n7)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n13),(nginx,n13),(mariadb,n13),(memcached,n7)"
2,0.8716,0.18382,0.05018,0.05018,2386,2963,2963,2963,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n5)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n13),(nginx,n13),(mariadb,n13),(memcached,n7)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n13),(nginx,n13),(mariadb,n13),(memcached,n7)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n13),(nginx,n13),(mariadb,n13),(memcached,n7)"
3,0.72704,0.19331,0.22811,0.22811,1642,2215,2215,2215,"(busybox,n5),(memcached,n5),(nginx,n5),(mariadb,n5),(memcached,n22)","(busybox,n5),(memcached,n5),(nginx,n5),(mariadb,n5),(busybox,n13),(nginx,n13),(mariadb,n13),(memcached,n22)","(busybox,n5),(memcached,n5),(nginx,n5),(mariadb,n5),(busybox,n13),(nginx,n13),(mariadb,n13),(memcached,n22)","(busybox,n5),(memcached,n5),(nginx,n5),(mariadb,n5),(busybox,n13),(nginx,n13),(mariadb,n13),(memcached,n22)"
4,0.74934,0.1653,0.21816,0.21816,2339,2912,2912,2912,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n5)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n13),(nginx,n13),(mariadb,n13),(memcached,n7)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n13),(nginx,n13),(mariadb,n13),(memcached,n5)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n13),(nginx,n13),(mariadb,n13),(memcached,n5)"
5,0.83248,0.21836,0.32019,0.32019,2708,2896,2896,2896,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n5),(mariadb,n11)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n13),(nginx,n13),(memcached,n5),(mariadb,n27)","(busybox,n3),(nginx,n3),(mariadb,n3),(memcached,n3),(busybox,n11),(nginx,n11),(mariadb,n11),(memcached,n5)","(busybox,n3),(nginx,n3),(mariadb,n3),(memcached,n3),(busybox,n11),(nginx,n11),(mariadb,n11),(memcached,n5)"
6,0.80035,0.30232,5.62901,5.62901,2673,3228,3354,3354,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n9)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n13),(nginx,n13),(mariadb,n13),(memcached,n9)","(memcached,n4),(memcached,n3),(busybox,n3),(nginx,n3),(mariadb,n3),(memcached,n25),(busybox,n11),(nginx,n11),(mariadb,n11)","(memcached,n4),(memcached,n3),(busybox,n3),(nginx,n3),(mariadb,n3),(memcached,n25),(busybox,n11),(nginx,n11),(mariadb,n11)"
7,0.80065,0.34587,0.05709,0.05709,2673,3228,3354,3354,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n9)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n13),(nginx,n13),(mariadb,n13),(memcached,n9)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n11),(nginx,n11),(mariadb,n11),(memcached,n4),(memcached,n25)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n11),(nginx,n11),(mariadb,n11),(memcached,n4),(memcached,n25)"
8,0.79158,0.25994,0.04823,0.04823,2673,3228,3354,3354,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n9)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n13),(nginx,n13),(mariadb,n13),(memcached,n9)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n11),(nginx,n11),(mariadb,n11),(memcached,n4),(memcached,n25)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n11),(nginx,n11),(mariadb,n11),(memcached,n4),(memcached,n25)"
9,0.84957,0.24455,0.0562,0.0562,2547,3102,3354,3354,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n35)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n13),(nginx,n13),(mariadb,n13),(memcached,n35)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n11),(nginx,n11),(mariadb,n11),(memcached,n4),(memcached,n25)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n11),(nginx,n11),(mariadb,n11),(memcached,n4),(memcached,n25)"
10,0.6123,1.12082,0.05995,0.05995,2704,3824,3392,3392,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n25),(memcached,n35)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n27),(nginx,n27),(mariadb,n27),(busybox,n13),(nginx,n13),(mariadb,n13),(memcached,n35),(memcached,n25)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n11),(nginx,n11),(mariadb,n11),(memcached,n4),(memcached,n25)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n11),(nginx,n11),(mariadb,n11),(memcached,n4),(memcached,n25)"
11,0.82246,0.96287,0.34177,0.34177,3212,3771,3893,3893,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n25),(nginx,n25),(mariadb,n25),(memcached,n35)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n27),(busybox,n13),(nginx,n13),(mariadb,n13),(memcached,n35),(memcached,n25),(nginx,n25),(mariadb,n25)","(nginx,n3),(mariadb,n3),(busybox,n3),(memcached,n3),(nginx,n10),(mariadb,n10),(busybox,n11),(memcached,n4),(memcached,n25)","(nginx,n3),(mariadb,n3),(busybox,n3),(memcached,n3),(nginx,n10),(mariadb,n10),(busybox,n11),(memcached,n4),(memcached,n25)"
12,0.70768,0.25246,0.59198,0.59198,4767,4767,4767,4767,"(busybox,n4),(memcached,n4),(nginx,n4),(mariadb,n4),(memcached,n10),(nginx,n10),(mariadb,n10)","(busybox,n4),(memcached,n4),(nginx,n4),(mariadb,n4),(busybox,n13),(memcached,n10),(nginx,n10),(mariadb,n10)","(busybox,n4),(memcached,n4),(nginx,n4),(mariadb,n4),(busybox,n13),(memcached,n10),(nginx,n10),(mariadb,n10)","(busybox,n4),(memcached,n4),(nginx,n4),(mariadb,n4),(busybox,n13),(memcached,n10),(nginx,n10),(mariadb,n10)"
13,0.72575,0.23039,25.79181,25.79181,2724,2724,4208,4208,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n25),(nginx,n25),(mariadb,n25)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n13),(memcached,n25),(nginx,n25),(mariadb,n25)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n10),(memcached,n10),(busybox,n13),(memcached,n5),(nginx,n8),(mariadb,n8),(nginx,n25),(mariadb,n25)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n10),(memcached,n10),(busybox,n13),(memcached,n5),(nginx,n8),(mariadb,n8),(nginx,n25),(mariadb,n25)"
14,0.76826,0.36207,0.43479,0.43479,2534,3108,4372,4372,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n35)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n13),(nginx,n13),(mariadb,n13),(memcached,n35)","(memcached,n4),(memcached,n3),(busybox,n3),(nginx,n3),(mariadb,n3),(busybox,n10),(busybox,n13),(nginx,n8),(mariadb,n8),(nginx,n25),(mariadb,n25)","(memcached,n4),(memcached,n3),(busybox,n3),(nginx,n3),(mariadb,n3),(busybox,n10),(busybox,n13),(nginx,n8),(mariadb,n8),(nginx,n25),(mariadb,n25)"
15,0.94683,0.21623,17.03308,17.03308,2760,2760,4256,4256,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n25),(nginx,n25),(mariadb,n25)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n13),(memcached,n25),(nginx,n25),(mariadb,n25)","(memcached,n3),(busybox,n3),(nginx,n3),(mariadb,n3),(memcached,n5),(memcached,n10),(busybox,n10),(busybox,n13),(nginx,n8),(mariadb,n8),(nginx,n25),(mariadb,n25)","(memcached,n3),(busybox,n3),(nginx,n3),(mariadb,n3),(memcached,n5),(memcached,n10),(busybox,n10),(busybox,n13),(nginx,n8),(mariadb,n8),(nginx,n25),(mariadb,n25)"
16,0.88165,1.18174,19.00936,19.00936,3224,3798,4604,4604,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n25),(nginx,n25),(mariadb,n25),(memcached,n35)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n27),(busybox,n13),(nginx,n13),(mariadb,n13),(memcached,n35),(memcached,n25),(nginx,n25),(mariadb,n25)","(memcached,n4),(memcached,n3),(busybox,n3),(nginx,n3),(mariadb,n3),(memcached,n10),(busybox,n10),(busybox,n13),(nginx,n8),(mariadb,n8),(nginx,n25),(mariadb,n25)","(memcached,n4),(memcached,n3),(busybox,n3),(nginx,n3),(mariadb,n3),(memcached,n10),(busybox,n10),(busybox,n13),(nginx,n8),(mariadb,n8),(nginx,n25),(mariadb,n25)"
17,0.85859,1.08565,0.03277,0.03277,3224,3798,4604,4604,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n25),(nginx,n25),(mariadb,n25),(memcached,n35)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n27),(busybox,n13),(nginx,n13),(mariadb,n13),(memcached,n35),(memcached,n25),(nginx,n25),(mariadb,n25)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n10),(memcached,n10),(busybox,n13),(memcached,n4),(nginx,n8),(mariadb,n8),(nginx,n25),(mariadb,n25)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n10),(memcached,n10),(busybox,n13),(memcached,n4),(nginx,n8),(mariadb,n8),(nginx,n25),(mariadb,n25)"
18,0.78554,1.13969,0.05518,0.05518,3184,3744,4540,4540,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n25),(nginx,n25),(mariadb,n25),(memcached,n35)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n27),(busybox,n13),(nginx,n13),(mariadb,n13),(memcached,n35),(memcached,n25),(nginx,n25),(mariadb,n25)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n10),(memcached,n10),(busybox,n13),(memcached,n4),(nginx,n8),(mariadb,n8),(nginx,n25),(mariadb,n25)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n10),(memcached,n10),(busybox,n13),(memcached,n4),(nginx,n8),(mariadb,n8),(nginx,n25),(mariadb,n25)"
19,0.79931,1.17334,0.07604,0.07604,3184,3744,4540,4540,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n25),(nginx,n25),(mariadb,n25),(memcached,n35)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n27),(busybox,n13),(nginx,n13),(mariadb,n13),(memcached,n35),(memcached,n25),(nginx,n25),(mariadb,n25)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n10),(memcached,n10),(busybox,n13),(memcached,n4),(nginx,n8),(mariadb,n8),(nginx,n25),(mariadb,n25)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n10),(memcached,n10),(busybox,n13),(memcached,n4),(nginx,n8),(mariadb,n8),(nginx,n25),(mariadb,n25)"
20,0.79348,1.28579,0.07084,0.07084,3184,3744,4540,4540,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n25),(nginx,n25),(mariadb,n25),(memcached,n35)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n27),(busybox,n13),(nginx,n13),(mariadb,n13),(memcached,n35),(memcached,n25),(nginx,n25),(mariadb,n25)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n10),(memcached,n10),(busybox,n13),(memcached,n4),(nginx,n8),(mariadb,n8),(nginx,n25),(mariadb,n25)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n10),(memcached,n10),(busybox,n13),(memcached,n4),(nginx,n8),(mariadb,n8),(nginx,n25),(mariadb,n25)"
21,0.90511,0.29248,0.07176,0.07176,2712,2712,4540,4540,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n25),(nginx,n25),(mariadb,n25)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n13),(memcached,n25),(nginx,n25),(mariadb,n25)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n10),(memcached,n10),(busybox,n13),(memcached,n4),(nginx,n8),(mariadb,n8),(nginx,n25),(mariadb,n25)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n10),(memcached,n10),(busybox,n13),(memcached,n4),(nginx,n8),(mariadb,n8),(nginx,n25),(mariadb,n25)"
22,0.94711,1.10588,0.09787,0.09787,3184,3744,4540,4540,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n25),(nginx,n25),(mariadb,n25),(memcached,n35)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n27),(busybox,n13),(nginx,n13),(mariadb,n13),(memcached,n35),(memcached,n25),(nginx,n25),(mariadb,n25)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n10),(memcached,n10),(busybox,n13),(memcached,n4),(nginx,n8),(mariadb,n8),(nginx,n25),(mariadb,n25)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n10),(memcached,n10),(busybox,n13),(memcached,n4),(nginx,n8),(mariadb,n8),(nginx,n25),(mariadb,n25)"
23,0.96958,0.99749,0.10368,0.10368,3184,3744,4540,4540,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n25),(nginx,n25),(mariadb,n25),(memcached,n35)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n30),(busybox,n13),(nginx,n13),(mariadb,n13),(memcached,n35),(memcached,n25),(nginx,n25),(mariadb,n25)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n10),(memcached,n10),(busybox,n13),(memcached,n4),(nginx,n8),(mariadb,n8),(nginx,n25),(mariadb,n25)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n10),(memcached,n10),(busybox,n13),(memcached,n4),(nginx,n8),(mariadb,n8),(nginx,n25),(mariadb,n25)"
24,1.02692,0.23763,0.3319,0.3319,2506,3066,4540,4540,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n35)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n27),(nginx,n27),(mariadb,n27),(memcached,n35)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n10),(memcached,n10),(memcached,n4),(nginx,n8),(mariadb,n8),(nginx,n25),(mariadb,n25)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n10),(memcached,n10),(memcached,n4),(nginx,n8),(mariadb,n8),(nginx,n25),(mariadb,n25)"
25,0.83089,0.22764,0.41707,0.41707,4068,4068,4186,4186,"(busybox,n4),(memcached,n4),(nginx,n4),(mariadb,n4),(memcached,n25),(nginx,n25),(mariadb,n25)","(busybox,n4),(memcached,n4),(nginx,n4),(mariadb,n4),(busybox,n13),(memcached,n25),(nginx,n25),(mariadb,n25)","(busybox,n4),(memcached,n4),(nginx,n4),(mariadb,n4),(busybox,n13),(memcached,n10),(nginx,n25),(mariadb,n25)","(busybox,n4),(memcached,n4),(nginx,n4),(mariadb,n4),(busybox,n13),(memcached,n10),(nginx,n25),(mariadb,n25)"
26,1.06062,1.46792,22.59516,22.59516,3184,3744,5660,5660,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n25),(nginx,n25),(mariadb,n25),(memcached,n35)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n27),(busybox,n13),(nginx,n13),(mariadb,n13),(memcached,n35),(memcached,n25),(nginx,n25),(mariadb,n25)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n7),(busybox,n13),(nginx,n13),(mariadb,n13),(memcached,n4),(memcached,n10),(nginx,n6),(mariadb,n6)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n7),(busybox,n13),(nginx,n13),(mariadb,n13),(memcached,n4),(memcached,n10),(nginx,n6),(mariadb,n6)"
27,0.84302,1.1705,0.07176,0.07176,3184,3744,5660,5660,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(memcached,n25),(nginx,n25),(mariadb,n25),(memcached,n35)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n27),(busybox,n13),(nginx,n13),(mariadb,n13),(memcached,n35),(memcached,n25),(nginx,n25),(mariadb,n25)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n7),(busybox,n13),(nginx,n13),(mariadb,n13),(memcached,n4),(memcached,n10),(nginx,n6),(mariadb,n6)","(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(busybox,n7),(busybox,n13),(nginx,n13),(mariadb,n13),(memcached,n4),(memcached,n10),(nginx,n6),(mariadb,n6)"
